Name,label,bool,range_min,range_max,sub,factor,unit,tag,alias,grafana_url
az,az,0,-90,450,0,1,Deg,ACU,,
el,el,1,0,90,0,1,Deg,ACU,,
bs,bs,1,-60,60,0,1,Deg,ACU,,
fp,fp,1,0.06,0.1,0,1,Temperature [K],mk100,,
dr_mxc,dr_mxc,1,0.04,0.07,0,1,Temperature [K],mk100,,
heater,heater,1,0,30,0,1,%,mk100,,
cra,cra,1,0.6,1,0,1,Temperature [K],k1,,
stop,stop,1,0.6,1,0,1,Temperature [K],k1,,
lpe,lpe,1,0.6,1,0,1,Temperature [K],k1,,
lens2,lens2,1,0.6,1,0,1,Temperature [K],k1,,
hs_double_rod,hs_double_rod,1,0.6,1,0,1,Temperature [K],k1,,
4K_urh,4K_urh,0,,,0,1,Temperature [K],k4,,
4K_coldhead,4K_coldhead,1,2.5,3.5,0,1,Temperature [K],k4,,
4K_filter,4K_filter,1,4,6,0,1,Temperature [K],hwp,,
heatstrap,heatstrap,1,20,100,0,1,Temperature [K],k4,,
40K_urh,40K_urh,1,35,50,0,1,Temperature [K],hwp,,
be_dr_port,be_dr_port,1,30,45,0,1,Temperature [K],k40,,
busbar,busbar,1,30,45,0,1,Temperature [K],k40,,
40K_coldhead,40K_coldhead,1,25,35,0,1,Temperature [K],k40,,
filter_plate,filter_plate,1,40,60,0,1,Temperature [K],hwp,,
chwp_ybco,chwp_ybco,1,40,60,0,1,Temperature [K],hwp,,
chwp_rotor1,chwp_rotor1,0,,,0,1,Temperature [K],hwp_op,,
chwp_rotor2,chwp_rotor2,0,,,0,1,Temperature [K],hwp_op,,
chwp_rotor3,chwp_rotor3,0,,,0,1,Temperature [K],hwp_op,,
hwp_driver_cur,hwp_driver_cur,1,0,1,0,1,Current [A],hwp_op,,
hwp_driver_vol,hwp_driver_vol,1,0,20,0,1,Voltage [V],hwp_op,,
